18
2;myhotel;4;33;Orr;19/11/2015;4;Ball;12/02/2016;7;Manning;23/05/2016;5;Calderon;04/06/2016;3;Hayes;24/10/2016;6;Rogers;10/09/2016;1;Marquez;25/01/2016;1;Serrano;20/05/2016;9;Haley;24/02/2017;5;Hoover;22/11/2016;7;Bullock;15/07/2016;6;Perkins;08/07/2015;9;Maynard;24/02/2017;9;Solomon;22/08/2016;8;Kaufman;14/02/2016;2;Hayes;28/08/2016;5;
3;The Rockwell;5;57;Mooney;20/04/2016;2;Mullins;28/04/2015;7;Peters;07/05/2016;4;Rojas;05/01/2017;3;Price;25/04/2015;8;Robertson;08/09/2015;1;Nielsen;22/11/2015;6;Herman;11/05/2016;8;Baker;04/09/2015;2;Gill;13/04/2016;10;Lawrence;20/07/2016;10;Castaneda;09/08/2016;5;Schroeder;13/07/2016;5;Pate;12/01/2017;6;Sampson;30/01/2017;2;Hardin;23/09/2016;7;
4;Ibis Hotel;2;31;Lewis;06/03/2017;10;Contreras;17/03/2017;8;Slater;04/10/2015;9;Huffman;10/10/2016;7;Mcintyre;29/09/2016;8;Ellis;22/06/2016;2;Contreras;21/12/2016;5;Farrell;19/06/2016;9;Delaney;02/02/2016;2;Clayton;08/04/2015;5;Ware;16/10/2016;8;Bean;08/09/2016;7;Pennington;09/04/2016;5;Fuentes;01/07/2016;6;Robinson;23/04/2016;2;Floyd;23/05/2016;7;
5;80 Rennets Wood Road;3;28;Herring;17/04/2016;7;Richmond;27/04/2015;7;Fields;10/09/2015;4;Nolan;10/02/2017;10;Kirkland;18/08/2016;1;Hayden;18/03/2017;9;Strickland;25/08/2016;9;Cervantes;23/12/2015;3;Cantu;22/05/2015;5;Hunter;19/08/2016;6;Pennington;06/08/2016;6;Franklin;17/08/2015;5;Willis;03/01/2017;2;Beck;23/05/2015;2;Flynn;02/02/2016;6;Moon;23/12/2015;3;
6;Vito's;3;19;Morton;12/12/2015;2;Heath;21/05/2016;3;Heath;31/05/2015;9;Benjamin;23/02/2017;5;Bray;27/07/2015;9;Moore;26/09/2016;8;Rivera;12/09/2015;5;Warner;21/12/2015;9;Mathews;01/05/2015;4;Cook;14/04/2016;4;Alvarez;05/11/2015;5;Barrera;29/02/2016;10;Riddle;16/06/2015;5;Howard;14/03/2017;8;Freeman;23/06/2015;10;Mathews;02/05/2015;9;
7;Marble Arch Inn;1;56;Cruz;23/12/2015;7;Small;07/10/2015;2;Odom;30/07/2015;8;Underwood;26/07/2015;6;Walker;08/07/2015;6;Brewer;01/07/2016;6;Pitts;06/06/2015;6;Maddox;13/02/2017;7;Aguilar;15/11/2015;9;Reese;14/01/2016;4;Haley;20/10/2015;2;Benson;16/12/2015;8;Cantu;21/06/2016;9;Castaneda;08/08/2015;3;Floyd;07/02/2017;5;Dillon;15/05/2015;8;
8;The Bingham Hotel on Thames;4;80;Burgess;18/06/2015;9;Blevins;11/03/2016;5;Leonard;12/05/2015;5;Mccormick;30/03/2017;4;Dyer;24/05/2016;3;Case;14/11/2016;2;Morrow;28/05/2016;8;Delgado;02/01/2017;7;Vaughan;17/03/2017;8;Taylor;08/06/2016;2;Green;12/11/2015;3;Horn;27/07/2015;7;York;16/02/2017;6;Richardson;18/10/2016;4;Lowery;22/05/2016;6;Vang;07/11/2016;3;
9;Kensington Rooms;3;74;Garza;28/02/2016;6;Francis;26/09/2016;2;Workman;17/03/2017;4;Malone;01/07/2016;7;Harris;19/09/2016;10;Steele;11/04/2015;8;Kelly;24/01/2017;6;Howe;10/01/2017;7;Weaver;18/12/2015;3;Bond;28/06/2015;1;Jacobs;24/10/2015;6;Cochran;05/09/2016;10;Pope;08/11/2016;7;Mcdaniel;08/04/2016;5;Walker;07/10/2015;3;Hall;27/11/2016;4;
10;The Blakemore Hotel;2;88;Huff;11/07/2015;6;Navarro;20/04/2016;4;Gross;07/09/2015;9;Chen;29/05/2016;4;Kerr;22/12/2015;10;James;22/05/2016;10;Petty;02/04/2016;3;Golden;01/11/2015;1;Christian;19/04/2016;6;Meyers;19/12/2015;1;Ross;18/05/2016;7;Watkins;04/12/2015;5;Chambers;08/07/2016;8;Brewer;20/08/2016;9;Mcbride;25/03/2016;1;Kennedy;22/09/2015;6;
11;Norfolk Plaza Hotel;1;90;Singleton;29/08/2016;5;Padilla;09/03/2016;3;Wilder;24/01/2017;3;Klein;18/12/2016;2;Sims;04/08/2016;3;Mendez;22/11/2016;2;Ray;17/02/2017;6;Waller;23/12/2016;8;Pope;07/11/2015;9;Silva;30/11/2016;8;Cleveland;15/11/2016;9;Shelton;12/12/2016;6;Guthrie;25/05/2016;6;Downs;18/11/2016;7;Leblanc;20/07/2016;2;Suarez;06/04/2017;6;
