16
2;myhotel;4;33;Orr;4;19/11/2015;Ball;7;12/02/2016;Manning;5;23/05/2016;Calderon;3;04/06/2016;Hayes;6;24/10/2016;Rogers;1;10/09/2016;Marquez;1;25/01/2016;Serrano;9;20/05/2016;Haley;5;24/02/2017;Hoover;7;22/11/2016;Bullock;6;15/07/2016;Perkins;9;08/07/2015;Maynard;9;24/02/2017;Solomon;8;22/08/2016;Kaufman;2;14/02/2016;Hayes;5;28/08/2016;
3;The Rockwell;5;57;Mooney;2;20/04/2016;Mullins;7;28/04/2015;Peters;4;07/05/2016;Rojas;3;05/01/2017;Price;8;25/04/2015;Robertson;1;08/09/2015;Nielsen;6;22/11/2015;Herman;8;11/05/2016;Baker;2;04/09/2015;Gill;10;13/04/2016;Lawrence;10;20/07/2016;Castaneda;5;09/08/2016;Schroeder;5;13/07/2016;Pate;6;12/01/2017;Sampson;2;30/01/2017;Hardin;7;23/09/2016;
4;Ibis Hotel;2;31;Lewis;10;06/03/2017;Contreras;8;17/03/2017;Slater;9;04/10/2015;Huffman;7;10/10/2016;Mcintyre;8;29/09/2016;Ellis;2;22/06/2016;Contreras;5;21/12/2016;Farrell;9;19/06/2016;Delaney;2;02/02/2016;Clayton;5;08/04/2015;Ware;8;16/10/2016;Bean;7;08/09/2016;Pennington;5;09/04/2016;Fuentes;6;01/07/2016;Robinson;2;23/04/2016;Floyd;7;23/05/2016;
5;80 Rennets Wood Road;3;28;Herring;7;17/04/2016;Richmond;7;27/04/2015;Fields;4;10/09/2015;Nolan;10;10/02/2017;Kirkland;1;18/08/2016;Hayden;9;18/03/2017;Strickland;9;25/08/2016;Cervantes;3;23/12/2015;Cantu;5;22/05/2015;Hunter;6;19/08/2016;Pennington;6;06/08/2016;Franklin;5;17/08/2015;Willis;2;03/01/2017;Beck;2;23/05/2015;Flynn;6;02/02/2016;Moon;3;23/12/2015;
6;Vito's;3;19;Morton;2;12/12/2015;Heath;3;21/05/2016;Heath;9;31/05/2015;Benjamin;5;23/02/2017;Bray;9;27/07/2015;Moore;8;26/09/2016;Rivera;5;12/09/2015;Warner;9;21/12/2015;Mathews;4;01/05/2015;Cook;4;14/04/2016;Alvarez;5;05/11/2015;Barrera;10;29/02/2016;Riddle;5;16/06/2015;Howard;8;14/03/2017;Freeman;10;23/06/2015;Mathews;9;02/05/2015;
7;Marble Arch Inn;1;56;Cruz;7;23/12/2015;Small;2;07/10/2015;Odom;8;30/07/2015;Underwood;6;26/07/2015;Walker;6;08/07/2015;Brewer;6;01/07/2016;Pitts;6;06/06/2015;Maddox;7;13/02/2017;Aguilar;9;15/11/2015;Reese;4;14/01/2016;Haley;2;20/10/2015;Benson;8;16/12/2015;Cantu;9;21/06/2016;Castaneda;3;08/08/2015;Floyd;5;07/02/2017;Dillon;8;15/05/2015;
8;The Bingham Hotel on Thames;4;80;Burgess;9;18/06/2015;Blevins;5;11/03/2016;Leonard;5;12/05/2015;Mccormick;4;30/03/2017;Dyer;3;24/05/2016;Case;2;14/11/2016;Morrow;8;28/05/2016;Delgado;7;02/01/2017;Vaughan;8;17/03/2017;Taylor;2;08/06/2016;Green;3;12/11/2015;Horn;7;27/07/2015;York;6;16/02/2017;Richardson;4;18/10/2016;Lowery;6;22/05/2016;Vang;3;07/11/2016;
9;Kensington Rooms;3;74;Garza;6;28/02/2016;Francis;2;26/09/2016;Workman;4;17/03/2017;Malone;7;01/07/2016;Harris;10;19/09/2016;Steele;8;11/04/2015;Kelly;6;24/01/2017;Howe;7;10/01/2017;Weaver;3;18/12/2015;Bond;1;28/06/2015;Jacobs;6;24/10/2015;Cochran;10;05/09/2016;Pope;7;08/11/2016;Mcdaniel;5;08/04/2016;Walker;3;07/10/2015;Hall;4;27/11/2016;
10;The Blakemore Hotel;2;88;Huff;6;11/07/2015;Navarro;4;20/04/2016;Gross;9;07/09/2015;Chen;4;29/05/2016;Kerr;10;22/12/2015;James;10;22/05/2016;Petty;3;02/04/2016;Golden;1;01/11/2015;Christian;6;19/04/2016;Meyers;1;19/12/2015;Ross;7;18/05/2016;Watkins;5;04/12/2015;Chambers;8;08/07/2016;Brewer;9;20/08/2016;Mcbride;1;25/03/2016;Kennedy;6;22/09/2015;
11;Norfolk Plaza Hotel;1;90;Singleton;5;29/08/2016;Padilla;3;09/03/2016;Wilder;3;24/01/2017;Klein;2;18/12/2016;Sims;3;04/08/2016;Mendez;2;22/11/2016;Ray;6;17/02/2017;Waller;8;23/12/2016;Pope;9;07/11/2015;Silva;8;30/11/2016;Cleveland;9;15/11/2016;Shelton;6;12/12/2016;Guthrie;6;25/05/2016;Downs;7;18/11/2016;Leblanc;2;20/07/2016;Suarez;6;06/04/2017;
12;Mandarin Oriental;4;53;Sharpe;8;14/05/2016;Whitney;6;17/12/2015;Cherry;6;23/01/2017;Jennings;8;16/04/2016;Mosley;9;10/11/2015;Solis;4;27/08/2016;Hahn;1;20/03/2016;Pruitt;3;23/01/2017;Chandler;7;22/08/2015;Henderson;5;11/08/2016;Willis;6;08/08/2015;Spence;6;17/03/2016;Matthews;10;23/07/2015;Hudson;3;02/02/2017;Copeland;5;02/12/2016;Mendez;6;17/06/2016;
13;Novotel;4;53;Stewart;2;09/11/2016;Hobbs;10;12/08/2015;Willis;7;27/10/2015;Powers;10;22/09/2015;Love;3;27/04/2016;Randolph;6;18/12/2016;Christian;4;28/02/2016;Burnett;5;12/03/2017;Knight;5;24/08/2015;Battle;2;25/07/2015;Barr;3;09/01/2017;Shepard;2;20/06/2015;Guy;3;09/04/2016;Nolan;1;15/06/2015;Klein;5;24/03/2017;Caldwell;7;10/12/2016;
14;Ibis Hotel;1;90;Gates;8;14/05/2016;Donaldson;9;08/05/2016;Contreras;1;27/07/2015;Mann;5;09/11/2015;Carey;6;26/11/2015;Matthews;2;14/04/2015;Lynn;3;07/01/2016;Berry;2;23/12/2015;Atkinson;1;04/12/2016;Kemp;8;01/09/2016;Nieves;5;26/08/2016;Castaneda;5;03/09/2016;Lopez;7;18/10/2015;Glover;6;17/01/2017;Shepherd;9;03/03/2017;Mcmahon;4;08/12/2016;
15;Travel Inn;5;74;Levy;3;04/04/2017;Copeland;10;17/04/2015;Mullins;7;17/01/2016;Duran;5;30/07/2016;Fox;8;11/11/2016;Ford;5;07/08/2016;Shepherd;9;09/03/2017;Noble;4;28/04/2016;Nieves;5;24/09/2016;Huffman;8;13/03/2017;Foley;2;14/12/2016;Hoffman;10;17/01/2017;Steele;2;11/12/2015;Todd;7;02/04/2016;Franklin;4;26/12/2015;Garrett;10;04/04/2017;
16;Novotel;1;75;Rios;8;30/07/2016;Vasquez;10;16/09/2015;Simmons;9;19/10/2015;Collins;3;04/02/2017;Chambers;10;06/05/2016;Baxter;3;31/01/2017;Howe;7;24/02/2016;Solomon;6;26/03/2017;Bradley;9;21/08/2016;Dillard;6;25/09/2015;Travis;5;24/02/2016;Castaneda;7;11/10/2015;Velazquez;7;21/11/2015;Mcneil;3;24/06/2016;Oneil;10;22/03/2017;Cross;5;05/03/2016;
17;Ibis Hotel;1;90;Ashley;4;15/10/2015;Silva;4;11/04/2016;Hayes;8;18/11/2016;Mcneil;9;18/08/2015;Nixon;7;06/07/2016;Warren;8;04/02/2017;Roth;3;20/10/2015;Cherry;10;08/06/2015;Pennington;8;21/12/2016;Monroe;8;04/04/2017;Herman;7;21/03/2017;Meyer;2;28/07/2015;Sawyer;3;24/03/2016;Park;9;17/08/2016;Chavez;7;03/12/2015;Cash;7;17/02/2017;
