12
1;Ibis Hotel;1;90;Gates;14/05/2016;8;Donaldson;08/05/2016;9;Contreras;27/07/2015;1;Mann;09/11/2015;5;Carey;26/11/2015;6;Matthews;14/04/2015;2;Lynn;07/01/2016;3;Berry;23/12/2015;2;Atkinson;04/12/2016;1;Kemp;01/09/2016;8;Nieves;26/08/2016;5;Castaneda;03/09/2016;5;Lopez;18/10/2015;7;Glover;17/01/2017;6;Shepherd;03/03/2017;9;Mcmahon;08/12/2016;4;
2;The Bingham Hotel on Thames;4;80;Burgess;18/06/2015;9;Blevins;11/03/2016;5;Leonard;12/05/2015;5;Mccormick;30/03/2017;4;Dyer;24/05/2016;3;Case;14/11/2016;2;Morrow;28/05/2016;8;Delgado;02/01/2017;7;Vaughan;17/03/2017;8;Taylor;08/06/2016;2;Green;12/11/2015;3;Horn;27/07/2015;7;York;16/02/2017;6;Richardson;18/10/2016;4;Lowery;22/05/2016;6;Vang;07/11/2016;3;
3;Kensington Rooms;3;74;Garza;28/02/2016;6;Francis;26/09/2016;2;Workman;17/03/2017;4;Malone;01/07/2016;7;Harris;19/09/2016;10;Steele;11/04/2015;8;Kelly;24/01/2017;6;Howe;10/01/2017;7;Weaver;18/12/2015;3;Bond;28/06/2015;1;Jacobs;24/10/2015;6;Cochran;05/09/2016;10;Pope;08/11/2016;7;Mcdaniel;08/04/2016;5;Walker;07/10/2015;3;Hall;27/11/2016;4;
4;The Blakemore Hotel;2;88;Huff;11/07/2015;6;Navarro;20/04/2016;4;Gross;07/09/2015;9;Chen;29/05/2016;4;Kerr;22/12/2015;10;James;22/05/2016;10;Petty;02/04/2016;3;Golden;01/11/2015;1;Christian;19/04/2016;6;Meyers;19/12/2015;1;Ross;18/05/2016;7;Watkins;04/12/2015;5;Chambers;08/07/2016;8;Brewer;20/08/2016;9;Mcbride;25/03/2016;1;Kennedy;22/09/2015;6;
5;Norfolk Plaza Hotel;1;90;Singleton;29/08/2016;5;Padilla;09/03/2016;3;Wilder;24/01/2017;3;Klein;18/12/2016;2;Sims;04/08/2016;3;Mendez;22/11/2016;2;Ray;17/02/2017;6;Waller;23/12/2016;8;Pope;07/11/2015;9;Silva;30/11/2016;8;Cleveland;15/11/2016;9;Shelton;12/12/2016;6;Guthrie;25/05/2016;6;Downs;18/11/2016;7;Leblanc;20/07/2016;2;Suarez;06/04/2017;6;
6;Mandarin Oriental;4;53;Sharpe;14/05/2016;8;Whitney;17/12/2015;6;Cherry;23/01/2017;6;Jennings;16/04/2016;8;Mosley;10/11/2015;9;Solis;27/08/2016;4;Hahn;20/03/2016;1;Pruitt;23/01/2017;3;Chandler;22/08/2015;7;Henderson;11/08/2016;5;Willis;08/08/2015;6;Spence;17/03/2016;6;Matthews;23/07/2015;10;Hudson;02/02/2017;3;Copeland;02/12/2016;5;Mendez;17/06/2016;6;
7;Novotel;4;53;Stewart;09/11/2016;2;Hobbs;12/08/2015;10;Willis;27/10/2015;7;Powers;22/09/2015;10;Love;27/04/2016;3;Randolph;18/12/2016;6;Christian;28/02/2016;4;Burnett;12/03/2017;5;Knight;24/08/2015;5;Battle;25/07/2015;2;Barr;09/01/2017;3;Shepard;20/06/2015;2;Guy;09/04/2016;3;Nolan;15/06/2015;1;Klein;24/03/2017;5;Caldwell;10/12/2016;7;
8;Travel Inn;5;74;Levy;04/04/2017;3;Copeland;17/04/2015;10;Mullins;17/01/2016;7;Duran;30/07/2016;5;Fox;11/11/2016;8;Ford;07/08/2016;5;Shepherd;09/03/2017;9;Noble;28/04/2016;4;Nieves;24/09/2016;5;Huffman;13/03/2017;8;Foley;14/12/2016;2;Hoffman;17/01/2017;10;Steele;11/12/2015;2;Todd;02/04/2016;7;Franklin;26/12/2015;4;Garrett;04/04/2017;10;
9;Marble Arch Inn;1;56;Cruz;23/12/2015;7;Small;07/10/2015;2;Odom;30/07/2015;8;Underwood;26/07/2015;6;Walker;08/07/2015;6;Brewer;01/07/2016;6;Pitts;06/06/2015;6;Maddox;13/02/2017;7;Aguilar;15/11/2015;9;Reese;14/01/2016;4;Haley;20/10/2015;2;Benson;16/12/2015;8;Cantu;21/06/2016;9;Castaneda;08/08/2015;3;Floyd;07/02/2017;5;Dillon;15/05/2015;8;
10;Novotel;1;75;Rios;30/07/2016;8;Vasquez;16/09/2015;10;Simmons;19/10/2015;9;Collins;04/02/2017;3;Chambers;06/05/2016;10;Baxter;31/01/2017;3;Howe;24/02/2016;7;Solomon;26/03/2017;6;Bradley;21/08/2016;9;Dillard;25/09/2015;6;Travis;24/02/2016;5;Castaneda;11/10/2015;7;Velazquez;21/11/2015;7;Mcneil;24/06/2016;3;Oneil;22/03/2017;10;Cross;05/03/2016;5;
11;Ibis Hotel;1;90;Ashley;15/10/2015;4;Silva;11/04/2016;4;Hayes;18/11/2016;8;Mcneil;18/08/2015;9;Nixon;06/07/2016;7;Warren;04/02/2017;8;Roth;20/10/2015;3;Cherry;08/06/2015;10;Pennington;21/12/2016;8;Monroe;04/04/2017;8;Herman;21/03/2017;7;Meyer;28/07/2015;2;Sawyer;24/03/2016;3;Park;17/08/2016;9;Chavez;03/12/2015;7;Cash;17/02/2017;7;
19;Kokos Kebab;4;20;kokos;22/02/1990;100;
